| epoch   3 |  1400/ 9234 batches | lr 0.0010 | ms/batch 17.85 | loss  4.09 | ppl    59.70
| epoch   3 |  1600/ 9234 batches | lr 0.0010 | ms/batch 17.52 | loss  4.07 | ppl    58.62
| epoch   3 |  1800/ 9234 batches | lr 0.0010 | ms/batch 17.92 | loss  4.10 | ppl    60.31
| epoch   3 |  2000/ 9234 batches | lr 0.0010 | ms/batch 17.88 | loss  4.10 | ppl    60.20
| epoch   3 |  2200/ 9234 batches | lr 0.0010 | ms/batch 17.70 | loss  4.09 | ppl    59.56
| epoch   3 |  2400/ 9234 batches | lr 0.0010 | ms/batch 17.21 | loss  4.07 | ppl    58.74
| epoch   3 |  2600/ 9234 batches | lr 0.0010 | ms/batch 17.22 | loss  4.12 | ppl    61.35
| epoch   3 |  2800/ 9234 batches | lr 0.0010 | ms/batch 17.13 | loss  4.05 | ppl    57.58
| epoch   3 |  3000/ 9234 batches | lr 0.0010 | ms/batch 16.69 | loss  4.05 | ppl    57.28
| epoch   3 |  3200/ 9234 batches | lr 0.0010 | ms/batch 17.67 | loss  4.07 | ppl    58.27
| epoch   3 |  3400/ 9234 batches | lr 0.0010 | ms/batch 17.22 | loss  4.07 | ppl    58.46
| epoch   3 |  3600/ 9234 batches | lr 0.0010 | ms/batch 17.87 | loss  4.08 | ppl    59.07
| epoch   3 |  3800/ 9234 batches | lr 0.0010 | ms/batch 18.19 | loss  4.09 | ppl    59.94
| epoch   3 |  4000/ 9234 batches | lr 0.0010 | ms/batch 17.04 | loss  4.07 | ppl    58.32
| epoch   3 |  4200/ 9234 batches | lr 0.0010 | ms/batch 17.52 | loss  4.07 | ppl    58.75
| epoch   3 |  4400/ 9234 batches | lr 0.0010 | ms/batch 17.18 | loss  4.07 | ppl    58.32
| epoch   3 |  4600/ 9234 batches | lr 0.0010 | ms/batch 17.11 | loss  4.05 | ppl    57.55
| epoch   3 |  4800/ 9234 batches | lr 0.0010 | ms/batch 17.62 | loss  4.10 | ppl    60.52
| epoch   3 |  5000/ 9234 batches | lr 0.0010 | ms/batch 17.39 | loss  4.05 | ppl    57.61
| epoch   3 |  5200/ 9234 batches | lr 0.0010 | ms/batch 17.50 | loss  4.07 | ppl    58.50
| epoch   3 |  5400/ 9234 batches | lr 0.0010 | ms/batch 17.59 | loss  4.09 | ppl    59.75
| epoch   3 |  5600/ 9234 batches | lr 0.0010 | ms/batch 17.81 | loss  4.07 | ppl    58.28
| epoch   3 |  5800/ 9234 batches | lr 0.0010 | ms/batch 17.23 | loss  4.05 | ppl    57.37
| epoch   3 |  6000/ 9234 batches | lr 0.0010 | ms/batch 17.29 | loss  4.06 | ppl    57.72
| epoch   3 |  6200/ 9234 batches | lr 0.0010 | ms/batch 17.36 | loss  4.06 | ppl    57.76
| epoch   3 |  6400/ 9234 batches | lr 0.0010 | ms/batch 17.32 | loss  4.08 | ppl    59.09
| epoch   3 |  6600/ 9234 batches | lr 0.0010 | ms/batch 17.19 | loss  4.06 | ppl    57.93
| epoch   3 |  6800/ 9234 batches | lr 0.0010 | ms/batch 16.90 | loss  4.04 | ppl    57.05
| epoch   3 |  7000/ 9234 batches | lr 0.0010 | ms/batch 17.56 | loss  4.09 | ppl    59.57
| epoch   3 |  7200/ 9234 batches | lr 0.0010 | ms/batch 17.44 | loss  4.08 | ppl    58.89
| epoch   3 |  7400/ 9234 batches | lr 0.0010 | ms/batch 17.29 | loss  4.05 | ppl    57.33
